,Title,First author,Last author,Abstract,Journal,Language,Year,Month,First Author Country,Last Author Country,DOI,DOI URL
143,Effects of earthworms on above- and below-ground herbivores.,Susanne Wurst,Susanne Wurst,No data,Elsevier BV,en,2010.0,No data,No data,No data,10.1016/j.apsoil.2010.04.005,http://dx.doi.org/10.1016/j.apsoil.2010.04.005
144,Plant-mediated links between detritivores and aboveground herbivores.,Susanne Wurst,Susanne Wurst,No data,Frontiers Media SA,No data,2013.0,No data,No data,No data,10.3389/fpls.2013.00380,http://dx.doi.org/10.3389/fpls.2013.00380
145,Earthworms counterbalance the negative effect of microorganisms on plant diversity and enhance the tolerance of grasses to nematodes.,Susanne Wurst,Wim H. Van Der Putten,"<jats:p>Plant community composition is affected by a wide array of soil organisms with diverse feeding modes and functions. Former studies dealt with the high diversity and complexity of soil communities by focusing on particular functional groups in isolation, by grouping soil organisms into body size classes or by using whole communities from different origins. Our approach was to investigate both the individual and the interaction effects of highly abundant soil organisms (microorganisms, nematodes and earthworms) to evaluate their impacts on grassland plant communities. Earthworms increased total plant community biomass by stimulating root growth. Nematodes reduced the biomass of grasses, but this effect was alleviated by the presence of earthworms. Non‐leguminous forb biomass increased in the presence of nematodes, probably due to an alleviation of the competitive strength of grasses by nematodes. Microorganisms reduced the diversity and evenness of the plant community, but only in the absence of earthworms. Legume biomass was not affected by soil organisms, but<jats:italic>Lotus corniculatus</jats:italic>flowered earlier in the presence of microorganisms and the number of flowers decreased in the presence of nematodes. The results indicate that earthworms have a profound impact on the structure of grassland plant communities by counterbalancing the negative effects of plant‐feeding nematodes on grasses and by conserving the evenness of the plant community. We propose that interacting effects of functionally dissimilar soil organisms on plant community performance have to be taken into account in future studies, since individual effects of soil organism groups may cancel out each other in functionally diverse soil communities.</jats:p>",Wiley,en,2008.0,No data,No data,No data,10.1111/j.0030-1299.2008.16333.x,http://dx.doi.org/10.1111/j.0030-1299.2008.16333.x
146,Combined effects of earthworms and vesicular-arbuscular mycorrhizas on plant and aphid performance.,Susanne Wurst,Stefan Scheu,No data,Wiley,en,2004.0,No data,No data,No data,10.1111/j.1469-8137.2004.01106.x,http://dx.doi.org/10.1111/j.1469-8137.2004.01106.x
147,Earthworms and litter distribution affect plant-defensive chemistry.,Susanne Wurst,Stefan Scheu,No data,Springer Science and Business Media LLC,en,2004.0,No data,No data,No data,10.1023/b:joec.0000028425.43869.b8,http://dx.doi.org/10.1023/b:joec.0000028425.43869.b8
148,Indirect effects of earthworms (Aporrectodea caliginosa) on an above-ground tritrophic interaction.,Susanne Wurst,T.Hefin Jones,No data,Elsevier BV,en,2003.0,No data,No data,No data,10.1078/0031-4056-00173,http://dx.doi.org/10.1078/0031-4056-00173
149,Effects of earthworms and organic litter distribution on plant performance and aphid reproduction.,Susanne Wurst,Stefan Scheu,No data,Springer Science and Business Media LLC,No data,2003.0,Jan,No data,No data,10.1007/s00442-003-1329-x,http://dx.doi.org/10.1007/s00442-003-1329-x
150,Effects of belowground biota on primary and secondary metabolites in Brassica oleracea.,Susanne Wurst,Stefan Scheu,No data,Springer Science and Business Media LLC,en,2006.0,No data,No data,No data,10.1007/s00049-005-0328-2,http://dx.doi.org/10.1007/s00049-005-0328-2
151,Earthworms affect plant growth and resistance against herbivores: A meta-analysis.,Zhenggao Xiao,Sergio Rasmann,"<jats:title>Abstract</jats:title><jats:p>
<jats:list>

<jats:list-item>
<jats:p>Subterranean detritivores such as earthworms can increase soil nutrient availability through their burrowing and casting activities. A number of recent studies have explored whether these changes caused by earthworms may in turn affect plant performance and resistance to herbivores, but no formal synthesis of this literature has been conducted to date.</jats:p>
</jats:list-item>

<jats:list-item>
<jats:p>We tested for the effects of earthworms on plant growth, resistance and chemical defences against insect herbivores by performing a meta‐analysis of the existing literature up to 2016. We also explored ecological factors that might explain among‐studies variation in the magnitude of the earthworm effects on plant growth and resistance.</jats:p>
</jats:list-item>

<jats:list-item>
<jats:p>We found that earthworm presence increases plant growth (by 20%) and nitrogen content (by 11%). Overall, earthworms did not affect plant resistance against chewing herbivores (caterpillars, slugs and rootworms), and even led to a 22% decrease in plant resistance against phloem‐feeding herbivores (aphids). However, earthworm presence increased production of chemical defences by 31% when plants where attacked by cell‐feeders (thrips), and resulted in an 81% increase in resistance against thrips. The magnitude of earthworm effects was stronger when earthworm inoculations consisted of a mix of species and ecological types, and when densities of earthworms were high.</jats:p>
</jats:list-item>

<jats:list-item>
<jats:p>These results suggest that earthworm presence is an important factor underlying natural variation in plant defences against herbivores, and call for a better integration of the soil fauna in the studies of plant‐herbivore interaction, both for applied and fundamental research.</jats:p>
</jats:list-item>
</jats:list>
</jats:p><jats:p>A <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""http://onlinelibrary.wiley.com/doi/10.1111/1365-2435.12969/suppinfo"">plain language summary</jats:ext-link> is available for this article.</jats:p>",Wiley,en,2017.0,Nov,China,Switzerland,10.1111/1365-2435.12969,http://dx.doi.org/10.1111/1365-2435.12969
152,Deposition and decomposition of cattle dung and its impact on soil properties and plant growth in a cool-temperate pasture.,Shinpei Yoshitake,Hiroshi Koizumi,"<jats:title>Abstract</jats:title><jats:p>Livestock dung provides an important direct pathway by which carbon and nutrients enter soils in pasture ecosystems and affects carbon and nitrogen cycling indirectly through changes in soil and plant properties. Here, we quantify dung deposition, decomposition, and the effects of dung on soil and plants in a <jats:italic>Zoysia japonica</jats:italic> grassland in Japan. We determined (1) the distribution of dung, (2) the mass loss rate of dung and the amount of carbon respired as CO<jats:sub>2</jats:sub>, and (3) changes in soil properties and aboveground biomass of <jats:italic>Z. japonica</jats:italic>. Dung deposition was 4.0–9.7 g C and 0.4–1.0 g N m<jats:sup>−2</jats:sup> year<jats:sup>−1</jats:sup> and distributed patchily (Morishita's <jats:italic>I</jats:italic><jats:sub><jats:italic>δ</jats:italic></jats:sub> &gt; 1). Most (71 %) of the carbon in dung deposited in June was lost within a single grazing period by aerobic decomposition, more than mass loss rate of <jats:italic>Z. japonica</jats:italic> litter in the first year (about 50 %), suggesting that grazing and defecation can accelerate carbon cycling compared with the typical litterfall–decomposition regime. Nitrogen in dung mass entered the soil as ammonium nitrogen and was nitrified. The spatiotemporal distribution of these processes corresponded to that of stimulated <jats:italic>Z. japonica</jats:italic> growth. These results suggested that dung deposition significantly affected the inorganic nitrogen status of soil and, therefore, the growth of <jats:italic>Z. japonica</jats:italic>. However, these effects were very restricted temporally (July–August) and spatially (within 10 cm from dung edge). Thus, such spatiotemporally restricted effects combined with the patchy distribution of dung may contribute to the heterogeneous structure of pasture ecosystems.</jats:p>",Wiley,en,2014.0,Mar,Japan,Japan,10.1007/s11284-014-1153-2,http://dx.doi.org/10.1007/s11284-014-1153-2
153,Mechanisms and evolution of plant resistance to aphids.,Tobias Züst,Anurag A. Agrawal,No data,Springer Science and Business Media LLC,en,2016.0,Jun,No data,No data,10.1038/nplants.2015.206,http://dx.doi.org/10.1038/nplants.2015.206
154,Trade-offs between plant growth and defense against insect herbivory: An emerging mechanistic synthesis.,Tobias Züst,Anurag A. Agrawal,"<jats:p> Costs of defense are central to our understanding of interactions between organisms and their environment, and defensive phenotypes of plants have long been considered to be constrained by trade-offs that reflect the allocation of limiting resources. Recent advances in uncovering signal transduction networks have revealed that defense trade-offs are often the result of regulatory “decisions” by the plant, enabling it to fine-tune its phenotype in response to diverse environmental challenges. We place these results in the context of classic studies in ecology and evolutionary biology, and propose a unifying framework for growth–defense trade-offs as a means to study the plant's allocation of limiting resources. Pervasive physiological costs constrain the upper limit to growth and defense traits, but the diversity of selective pressures on plants often favors negative correlations at intermediate trait levels. Despite the ubiquity of underlying costs of defense, the current challenge is using physiological and molecular approaches to predict the conditions where they manifest as detectable trade-offs. </jats:p>",Annual Reviews,en,2017.0,No data,Switzerland;,14853;,10.1146/annurev-arplant-042916-040856,http://dx.doi.org/10.1146/annurev-arplant-042916-040856
155,Using knockout mutants to reveal the growth costs of defensive traits.,Tobias Züst,Lindsay A. Turnbull,"<jats:p>
            We used a selection of
            <jats:italic>Arabidopsis thaliana</jats:italic>
            mutants with knockouts in defence genes to demonstrate growth costs of trichome development and glucosinolate production. Four of the seven defence mutants had significantly higher size-standardized growth rates (SGRs) than the wild-type in early life, although this benefit declined as plants grew larger. SGR is known to be a good predictor of success under high-density conditions, and we confirmed that mutants with higher growth rates had a large advantage when grown in competition. Despite the lack of differences in flowering-time genes, the mutants differed in flowering time, a trait that strongly correlated with early growth rate. Aphid herbivory decreased plant growth rate and increased flowering time, and aphid population growth rate was closely coupled to the growth rate of the host plant. Small differences in early SGR thus had cascading effects on both flowering time and herbivore populations.
          </jats:p>",The Royal Society,en,2011.0,No data,Switzerland,Switzerland,10.1098/rspb.2010.2475,http://dx.doi.org/10.1098/rspb.2010.2475
156,Growth-defense tradeoffs for two major anti-herbivore traits of the common milkweed Asclepias syriaca.,Tobias Züst,Anurag A. Agrawal,"<jats:p>Costs of plant defense are a key assumption in evolutionary ecology, yet their detection has remained challenging. Here we introduce a novel method for quantifying plant growth using the common milkweed <jats:italic>Asclepias syriaca</jats:italic> and repeated non‐destructive size measurements to experimentally test for costs of defensive traits. We estimated mechanistic components of plant growth (relative growth rate, net assimilation rate, specific leaf area and leaf‐mass ratio) at two levels of fertilization (high and low), and related them to production of toxic cardenolides and exudation of sticky latex. We found negative genetic correlations between cardenolides and growth (most strongly with net assimilation rate) at both nutrient levels. Additionally, plants varied in their cardenolide response to low nutrients, and genetic families maintaining higher cardenolide production at low nutrient availability suffered proportionally larger reductions in growth. In contrast, the amount of latex was positively correlated with plant growth. Because latex is instantly deployed from a plant‐wide system of pressurized laticifers, larger plants may simply exude proportionally more latex when damaged and thus plant size is likely to mask potential costs of latex synthesis. Unbiased quantification of mechanistic growth processes, coupled with the manipulation of nutrient or stress levels, is thus an effective approach to demonstrate allocation to defense and tradeoffs with growth, especially in long‐lived plant species.</jats:p>",Wiley,en,2015.0,No data,USA,USA,10.1111/oik.02075,http://dx.doi.org/10.1111/oik.02075
157,The unseen invaders: introduced earthworms as drivers of change in plant communities in North American forests (a meta-analysis),Dylan Craven,Nico Eisenhauer,"<jats:title>Abstract</jats:title><jats:p>Globally, biological invasions can have strong impacts on biodiversity as well as ecosystem functioning. While less conspicuous than introduced aboveground organisms, introduced belowground organisms may have similarly strong effects. Here, we synthesize for the first time the impacts of introduced earthworms on plant diversity and community composition in North American forests. We conducted a meta‐analysis using a total of 645 observations to quantify mean effect sizes of associations between introduced earthworm communities and plant diversity, cover of plant functional groups, and cover of native and non‐native plants. We found that plant diversity significantly declined with increasing richness of introduced earthworm ecological groups. While plant species richness or evenness did not change with earthworm invasion, our results indicate clear changes in plant community composition: cover of graminoids and non‐native plant species significantly increased, and cover of native plant species (of all functional groups) tended to decrease, with increasing earthworm biomass. Overall, these findings support the hypothesis that introduced earthworms facilitate particular plant species adapted to the abiotic conditions of earthworm‐invaded forests. Further, our study provides evidence that introduced earthworms are associated with declines in plant diversity in North American forests. Changing plant functional composition in these forests may have long‐lasting effects on ecosystem functioning.</jats:p>",Wiley,en,2016.0,Mar,Germany,Germany,10.1111/gcb.13446,http://dx.doi.org/10.1111/gcb.13446
158,Different earthworm ecological groups interactively impact seedling establishment.,Roman Asshoff,Nico Eisenhauer,No data,Elsevier BV,en,2010.0,No data,No data,No data,10.1016/j.ejsobi.2010.06.005,http://dx.doi.org/10.1016/j.ejsobi.2010.06.005
159,Historical anthropogenic disturbances influence patterns of non-native earthworm and plant invasions in a temperate primary forest.,Robin Beauséjour,Mark Vellend,No data,Springer Science and Business Media LLC,en,2014.0,Dec,No data,No data,10.1007/s10530-014-0794-y,http://dx.doi.org/10.1007/s10530-014-0794-y
160,Non-native invasive earthworms as agents of change in northern temperate forests.,Lee Frelich,Lee Frelich,No data,Faculty Opinions Ltd,No data,2016.0,Oct,No data,No data,10.3410/f.726131311.793514356,http://dx.doi.org/10.3410/f.726131311.793514356
161,What limits trees in c4 grasslands and savannas?,William J. Bond,William J. Bond,"<jats:p> Though the distribution of global vegetation can generally be predicted from climate, grasslands are an exception. C<jats:sub>4</jats:sub> grassy biomes cover vast areas that are warm enough and wet enough to support closed forests. The extent of this climate mismatch has been revealed by physiologically based global vegetation simulations and by large empirical data sets. Reasons for the existence of grassy biomes have long been debated, polarized into bottom-up (resources) or top-down (fire, herbivory) arguments. Recent studies indicate that both are important, especially in suppressing woody recruits. Grasses are formidable competitors belowground, create highly flammable fuels, and can support large herbivore densities. The net effect on trees is rare and episodic recruitment of adults in tree-fall gaps. The implication is that ecosystem structure and function depend on demographic transitions. Tree cover is increasing and grass/forest boundaries are changing. These changes can have large feedbacks to the earth-atmosphere system. Though progress has been made, there is still great uncertainty in predicting the future of C<jats:sub>4</jats:sub> grassy biomes. </jats:p>",Annual Reviews,en,2008.0,Jan,Africa;,Africa;,10.1146/annurev.ecolsys.39.110707.173411,http://dx.doi.org/10.1146/annurev.ecolsys.39.110707.173411
162,How do earthworms affect microfloral and faunal community diversity?,George G. Brown,George G. Brown,No data,Springer Netherlands,No data,1995.0,No data,No data,No data,10.1007/978-94-011-0479-1_22,http://dx.doi.org/10.1007/978-94-011-0479-1_22
163,Relative abundance and seasonal activity of earthworms (Lumbricidae and Megascolecidae) as determined by hand-sorting and formalin extraction in forest soils on the southern Appalachian Piedmont.,M.A. Callaham,P.F. Hendrix,No data,Elsevier BV,en,1997.0,No data,No data,No data,10.1016/s0038-0717(96)00095-8,http://dx.doi.org/10.1016/s0038-0717(96)00095-8
164,Root foraging influences plant growth responses to earthworm foraging.,Erin K. Cameron,Erin M. Bayne,No data,Public Library of Science (PLoS),en,2014.0,No data,No data,No data,10.1371/journal.pone.0108873,http://dx.doi.org/10.1371/journal.pone.0108873
165,"Global meta-analysis of the impacts of terres trial invertebrate invaders on species, communities and ecosystems.",Erin K. Cameron,Mar Cabeza,"<jats:title>Abstract</jats:title><jats:sec><jats:title>Aim</jats:title><jats:p>Terrestrial invertebrates comprise a large proportion of alien species world‐wide, yet a quantitative global synthesis of their effects on native species and ecosystems has not been explored. We conducted a meta‐analysis to examine the ecological impacts of terrestrial invertebrate invaders and to test how impacts are modulated by the invader's trophic position, habitat attributes (i.e. insularity and disturbance) and the study methodology (observational versus experimental).</jats:p></jats:sec><jats:sec><jats:title>Location</jats:title><jats:p>Global.</jats:p></jats:sec><jats:sec><jats:title>Methods</jats:title><jats:p>We investigated the effects of terrestrial invertebrate invaders on populations, communities and ecosystems by conducting a random effects meta‐analysis using 112 articles reporting data from 710 field and laboratory studies. The analysis included 16 insect, 11 earthworm, 7 slug and 1 nematode invaders.</jats:p></jats:sec><jats:sec><jats:title>Results</jats:title><jats:p>On average, across invaders, the presence of invaders reduced plant fitness (52%), animal diversity (33%) and animal abundance (29%). Leaf litter decomposition was 41% higher in the presence of invaders, while other ecosystem‐level variables such as nutrient cycling were not affected in a consistent direction. Invasive predators and detritivores decreased animal abundance, whereas herbivores and omnivores had limited impacts. Single invaders increased soil nitrogen pools while multiple species did not. Insularity and disturbance did not affect the magnitude of the impacts significantly, mainly because there was a large variation among studies.</jats:p></jats:sec><jats:sec><jats:title>Main conclusions</jats:title><jats:p>Overall, our study indicates that terrestrial invertebrate invaders have significant consistent effects on populations, communities and ecosystems, with islands and disturbed sites not being more prone to impacts. However, effects vary considerably depending on the type of impact being examined and the trophic position of the invader. There is no evidence that invaders cause larger impacts when multiple species of invaders, rather than single invaders, are involved.</jats:p></jats:sec>",Wiley,en,2016.0,No data,Finland,Finland,10.1111/geb.12436,http://dx.doi.org/10.1111/geb.12436
166,Invasive earthworms as seed predators of temperate forest plants.,Colin M. Cassin,Peter M. Kotanen,No data,Springer Science and Business Media LLC,en,2016.0,No data,No data,No data,10.1007/s10530-016-1101-x,http://dx.doi.org/10.1007/s10530-016-1101-x
167,Non-native earthworms promote plant invasion by ingesting seeds and modifying soil properties.,Julia Clause,Sébastien Barot,No data,Elsevier BV,en,2015.0,No data,No data,No data,10.1016/j.actao.2015.02.004,http://dx.doi.org/10.1016/j.actao.2015.02.004
168,R: A Language and Environment for Statistical Computing.,Peter A. W. Lewis,Peter A. W. Lewis,No data,ACM,No data,1994.0,No data,CA,CA,10.1145/190271.190295,http://dx.doi.org/10.1145/190271.190295
169,Exotic earthworms of great lakes forests: a search for indicator plant species in maple forests.,Kathryn Corio,Gary Fewless,No data,Elsevier BV,en,2009.0,No data,No data,No data,10.1016/j.foreco.2009.05.013,http://dx.doi.org/10.1016/j.foreco.2009.05.013
170,Global diversity of drought tolerance and grassland climate-change resilience.,Joseph M. Craine,Joseph E. Fargione,No data,Springer Science and Business Media LLC,en,2012.0,May,No data,No data,10.1038/nclimate1634,http://dx.doi.org/10.1038/nclimate1634
171,Single and interactive effects of deer and earth worms on non-native plants.,Andrea Dávalos,Bernd Blossey,No data,Elsevier BV,en,2015.0,No data,No data,No data,10.1016/j.foreco.2015.04.026,http://dx.doi.org/10.1016/j.foreco.2015.04.026
172,Linking aboveground and belowground diversity.,No data,No data,No data,Princeton University Press,No data,2013.0,No data,No data,No data,10.1515/9781400847297.105,http://dx.doi.org/10.1515/9781400847297.105
173,"Earthworm invasion, white-tailed deer and seedling establishment in deciduous forests of north-eastern North America.",Annise Dobson,Bernd Blossey,"<jats:title>Summary</jats:title><jats:p>
<jats:list>

<jats:list-item><jats:p>Earthworm invasions and high deer populations are among many stressors threatening long‐term population viability of forest understorey plants in north‐eastern <jats:styled-content style=""fixed-case"">N</jats:styled-content>orth <jats:styled-content style=""fixed-case"">A</jats:styled-content>merica. Stressor effects are typically tested one at a time; however, stressors often co‐occur and plants respond to effects of multiple stressors simultaneously.</jats:p></jats:list-item>

<jats:list-item><jats:p>We used a factorial design to test independent and combined effects of non‐native earthworms and native white‐tailed deer on survival of seedling transplants of 15 native understorey plants in five forests in <jats:styled-content style=""fixed-case"">N</jats:styled-content>ew <jats:styled-content style=""fixed-case"">Y</jats:styled-content>ork <jats:styled-content style=""fixed-case"">S</jats:styled-content>tate.</jats:p></jats:list-item>

<jats:list-item><jats:p>Earthworm biomass was negatively correlated with survival of 12 of 15 species. We found no interactive effect of deer and earthworms, but did find a positive, non‐consumptive effect of deer on <jats:italic><jats:styled-content style=""fixed-case"">G</jats:styled-content>eranium maculatum</jats:italic> and <jats:italic>Polygonum virginianum</jats:italic> survival.</jats:p></jats:list-item>

<jats:list-item>
<jats:p>Deer and earthworm presence/absence indirectly influenced other trophic levels: earthworm presence increased the likelihood of insect attack, and deer exclusion increased the likelihood of rodent disturbance of transplants.</jats:p>
</jats:list-item>

<jats:list-item><jats:p><jats:italic>Synthesis</jats:italic>. Invasive earthworms negatively affected seedling survival of many understorey plants, including species previously thought to benefit from earthworm associations. This effect was a function of earthworm biomass, a surrogate for earthworm activity. We expect deer herbivory to increase in importance, including indirect effects, as seedlings grow into browse height over the next years. Investigations of co‐occurring stressors can result in ‘ecological surprises’ including previously overlooked non‐consumptive effects or effects on other trophic levels.</jats:p></jats:list-item>
</jats:list>
</jats:p>",Wiley,en,2014.0,No data,USA,USA,10.1111/1365-2745.12350,http://dx.doi.org/10.1111/1365-2745.12350
174,Assemblage time series reveal biodiversity change but not systematic loss.,Jonathan Chase,Jonathan Chase,No data,H1 Connect,No data,2014.0,No data,Germany,Germany,10.3410/f.718355162.793494965,http://dx.doi.org/10.3410/f.718355162.793494965
175,Non-native anecic earthworms (Lumbricus terrestris L.) reduce seed germination and seedling survival of temperate and boreal trees species.,Mélanie Drouin,Joann Whalen,No data,Elsevier BV,en,2014.0,No data,No data,No data,10.1016/j.apsoil.2013.11.006,http://dx.doi.org/10.1016/j.apsoil.2013.11.006
176,Ecosystem consequences of biological invasions.,Loïc Valéry,Daniel Simberloff,No data,Springer Science and Business Media LLC,en,2008.0,No data,No data,No data,10.1007/s10530-008-9275-5,http://dx.doi.org/10.1007/s10530-008-9275-5
177,The action of an animal ecosystem engineer: identification of the main mechanisms of earthworm impacts on soil microarthropods.,Nico Eisenhauer,Nico Eisenhauer,No data,Elsevier BV,en,2010.0,No data,No data,No data,10.1016/j.pedobi.2010.04.003,http://dx.doi.org/10.1016/j.pedobi.2010.04.003
178,"Invasibility of experimental grassland communities: the role of earthworms, plant functional group identity and seed size.",Nico Eisenhauer,Stefan Scheu,"<jats:p>Invasions of natural communities by non‐indigenous species threaten native biodiversity and are currently rated as one of the most important global‐scale environmental problems. The mechanisms that make communities resistant to invasions and drive the establishment success of seedlings are essential both for management and for understanding community assembly and structure. Especially in grasslands, anecic earthworms are known to function as ecosystem engineers, however, their direct effects on plant community composition and on the invasibility of plant communities via plant seed burial, ingestion and digestion are poorly understood.</jats:p><jats:p>In a greenhouse experiment we investigated the impact of<jats:italic>Lumbricus terrestris</jats:italic>, plant functional group identity and seed size of plant invader species and plant functional group of the established plant community on the number and biomass of plant invaders. We set up 120 microcosms comprising four plant community treatments, two earthworm treatments and three plant invader treatments containing three seed size classes.</jats:p><jats:p>Earthworm performance was influenced by an interaction between plant functional group identity of the established plant community and that of invader species. The established plant community and invader seed size affected the number of invader plants significantly, while invader biomass was only affected by the established community. Since earthworm effects on the number and biomass of invader plants varied with seed size and plant functional group identity they probably play a key role in seedling establishment and plant community composition.</jats:p><jats:p>Seeds and germinating seedlings in earthworm burrows may significantly contribute to earthworm nutrition, but this deserves further attention.<jats:italic>Lumbricus terrestris</jats:italic>likely behaves like a ‘farmer’ by collecting plant seeds which cannot directly be swallowed or digested. Presumably, these seeds are left in middens and become eatable after partial microbial decay. Increased earthworm numbers in more diverse plant communities likely contribute to the positive relationship between plant species diversity and resistance against invaders.</jats:p>",Wiley,en,2008.0,No data,No data,No data,10.1111/j.0030-1299.2008.16812.x,http://dx.doi.org/10.1111/j.0030-1299.2008.16812.x
179,"Invasion of a deciduous forest by earthworms: changes in soil chemistry, microflora, microarthropods and vegetation.",Nico Eisenhauer,Stefan Scheu,No data,Elsevier BV,en,2007.0,No data,No data,No data,10.1016/j.soilbio.2006.12.019,http://dx.doi.org/10.1016/j.soilbio.2006.12.019
180,"Assessment of anecic behavior in selected earthworm species: Effects on wheat seed burial, seedling establishment, wheat growth and litter incorporation.",Nico Eisenhauer,Stefan Scheu,No data,Elsevier BV,en,2008.0,No data,No data,No data,10.1016/j.apsoil.2007.07.002,http://dx.doi.org/10.1016/j.apsoil.2007.07.002
181,Direct and indirect effects of endogeic earthworms on plant seeds.,Nico Eisenhauer,Stefan Scheu,No data,Elsevier BV,en,2009.0,No data,No data,No data,10.1016/j.pedobi.2008.07.002,http://dx.doi.org/10.1016/j.pedobi.2008.07.002
182,Earthworms as seedling predators: Importance of seeds and seedlings for earthworm nutrition.,Nico Eisenhauer,Stefan Scheu,No data,Elsevier BV,en,2010.0,No data,No data,No data,10.1016/j.soilbio.2010.04.012,http://dx.doi.org/10.1016/j.soilbio.2010.04.012
183,Interactive effects of global warming and “global worming” on the initial establishment of native and exotic herbaceous plant species.,Nico Eisenhauer,Peter B. Reich,"<jats:p>The spread of exotic earthworms (‘worming’) and rising temperatures are expected to alter the biological, chemical and physical properties of many ecosystems, yet little is known about their potential interactive effects. We performed a laboratory microcosm experiment to investigate the effects of earthworms (anecic, endogeic, epigeic, or all three together) and 4°C warming on soil water content, litter turnover and seedling establishment of four native and four exotic herbaceous plant species.</jats:p><jats:p>Warming and worming exerted independent as well as interactive effects on soil processes and plant dynamics. Warming reduced the water content of the upper soil layer, but only in the presence of earthworms. Litter removal increased in the presence of earthworms, the effect being most pronounced in the presence of anecic earthworms at ambient temperature. Exotic plant species were most influenced by earthworms (lower seedling number but higher biomass), whereas natives were most sensitive to warming (higher seedling number). This differential response resulted in significant interaction effects of earthworms and warming on abundance and richness of native relative to exotic plants as well as related shifts in plant species composition. Structural equation modeling allowed us to address possible mechanisms: direct effects of earthworms primarily affected exotic plants, whereas earthworms and warming indirectly and differentially affected native and exotic plants through changes in soil water content and surface litter.</jats:p><jats:p>Invasive earthworms and warming are likely to interactively impact abiotic and biotic ecosystem properties. The invasion of epigeic and anecic species could select for plant species able to germinate on bare soil and tolerate drought, with the latter becoming more important in a warmer world. Thus earthworm invasion may result in simplified plant communities of increased susceptibility to the invasion of exotic plants.</jats:p>",Wiley,en,2011.0,No data,No data,No data,10.1111/j.1600-0706.2011.19807.x,http://dx.doi.org/10.1111/j.1600-0706.2011.19807.x
184,Biodiversity–ecosystem function experiments reveal the mechanisms underlying the consequences of biodiversity change in real world ecosystems.,Nico Eisenhauer,Manfred Türke,"<jats:title>Abstract</jats:title><jats:p>In a recent Forum paper, Wardle (<jats:italic>Journal of Vegetation Science</jats:italic>, 2016) questions the value of biodiversity–ecosystem function (<jats:styled-content style=""fixed-case"">BEF</jats:styled-content>) experiments with respect to their implications for biodiversity changes in real world communities. The main criticism is that the previous focus of <jats:styled-content style=""fixed-case"">BEF</jats:styled-content> experiments on random species assemblages within each level of diversity has ‘limited the understanding of how natural communities respond to biodiversity loss.’ He concludes that a broader spectrum of approaches considering both non‐random gains and losses of diversity is essential to advance this field of research. Wardle's paper is timely because of recent observations of frequent local and regional biodiversity changes across ecosystems. While we appreciate that new and complementary experimental approaches are required for advancing the field, we question criticisms regarding the validity of <jats:styled-content style=""fixed-case"">BEF</jats:styled-content> experiments. Therefore, we respond by briefly reiterating previous arguments emphasizing the reasoning behind random species composition in <jats:styled-content style=""fixed-case"">BEF</jats:styled-content> experiments. We describe how <jats:styled-content style=""fixed-case"">BEF</jats:styled-content> experiments have identified important mechanisms that play a role in real world ecosystems, advancing our understanding of ecosystem responses to species gains and losses. We discuss recent examples where theory derived from <jats:styled-content style=""fixed-case"">BEF</jats:styled-content> experiments enriched our understanding of the consequences of biodiversity changes in real world ecosystems and where comprehensive analyses and integrative modelling approaches confirmed patterns found in <jats:styled-content style=""fixed-case"">BEF</jats:styled-content> experiments. Finally, we provide some promising directions in <jats:styled-content style=""fixed-case"">BEF</jats:styled-content> research.</jats:p>",Wiley,en,2016.0,No data,Germany,Germany,10.1111/jvs.12435,http://dx.doi.org/10.1111/jvs.12435
185,Trophic Downgrading of Planet Earth.,Mark Hay,Mark Hay,No data,H1 Connect,No data,2011.0,No data,USA,USA,10.3410/f.11992956.13120054,http://dx.doi.org/10.3410/f.11992956.13120054
186,Earthworms reduce biotic 15-Nitrogen retention in northern hardwood forests.,Holly A. Ewing,Esteban Suarez,No data,Springer Science and Business Media LLC,en,2014.0,No data,No data,No data,10.1007/s10021-014-9831-z,http://dx.doi.org/10.1007/s10021-014-9831-z
